Rank,Title,Series,Number in series,Author,Score,Votes,Rating,Number of rating
76,The Wind's Twelve Quarters,,,Ursula K. Le Guin,"1,572",19,4.04,"4,042"
77,Remnant Population,,,Elizabeth Moon,"1,547",20,4.06,"3,628"
78,The Word for World is Forest,,,Ursula K. Le Guin,"1,510",20,3.95,"12,909"
79,Grimspace ,Sirantha Jax,1,Ann Aguirre,"1,497",17,3.73,"12,663"
80,Ammonite,,,Nicola Griffith,"1,477",20,3.86,"3,716"
81,Across the Universe ,Across the Universe,1,Beth Revis,"1,435",16,3.77,"107,423"
82,Inheritor ,Foreigner,3,C.J. Cherryh,"1,392",18,4.19,"3,610"
83,The V Girl,,,Mya Robarts,"1,380",15,4.02,"7,843"
84,Delirium ,Delirium,1,Lauren Oliver,"1,366",15,3.98,"392,313"
85,Dreamsnake,,,Vonda N. McIntyre,"1,324",18,3.86,"8,407"
86,Women of Wonder,,,Pamela Sargent,"1,297",16,4.00,272
87,All Systems Red ,The Murderbot Diaries,1,Martha Wells,"1,296",14,4.15,"35,121"
88,Trading in Danger ,Vatta's War,1,Elizabeth Moon,"1,286",16,3.98,"11,164"
89,Invader ,Foreigner,2,C.J. Cherryh,"1,276",17,4.17,"4,058"
89,Woman on the Edge of Time,,,Marge Piercy,"1,276",15,3.95,"12,600"
91,China Mountain Zhang,,,Maureen F. McHugh,"1,253",18,3.94,"3,453"
92,Stardoc ,Stardoc,1,S.L. Viehl,"1,230",16,3.80,"3,632"
93,MaddAddam ,MaddAddam,3,Margaret Atwood,"1,212",13,4.00,"52,206"
94,Valor's Choice ,Confederation,1,Tanya Huff,"1,165",16,3.98,"6,900"
95,Bellwether,,,Connie Willis,"1,142",13,3.93,"10,069"
96,This Alien Shore,,,C.S. Friedman,"1,130",15,4.04,"3,262"
97,Primary Inversion ,Saga of the Skolian Empire,1,Catherine Asaro,"1,119",15,3.74,"3,686"
98,Scarlet ,The Lunar Chronicles,2,Marissa Meyer,"1,115",12,4.29,"265,354"
99,Probability Moon ,Probability,1,Nancy Kress,"1,107",15,3.61,"1,292"
100,The House of the Scorpion ,Matteo Alacran,1,Nancy Farmer,"1,083",12,4.10,"72,379"
